DateKey,OrderDate,Year,Month,MonthName,Day,DayName,year_id
524,2009-10-06,2009,10,October,6,Tuesday,2
525,2009-10-07,2009,10,October,7,Wednesday,2
526,2009-10-08,2009,10,October,8,Thursday,2
527,2009-10-09,2009,10,October,9,Friday,2
528,2009-10-10,2009,10,October,10,Saturday,2
529,2009-10-11,2009,10,October,11,Sunday,2
530,2009-10-12,2009,10,October,12,Monday,2
531,2009-10-13,2009,10,October,13,Tuesday,2
532,2009-10-14,2009,10,October,14,Wednesday,2
533,2009-10-15,2009,10,October,15,Thursday,2
534,2009-10-16,2009,10,October,16,Friday,2
535,2009-10-17,2009,10,October,17,Saturday,2
536,2009-10-18,2009,10,October,18,Sunday,2
537,2009-10-19,2009,10,October,19,Monday,2
538,2009-10-20,2009,10,October,20,Tuesday,2
539,2009-10-21,2009,10,October,21,Wednesday,2
540,2009-10-22,2009,10,October,22,Thursday,2
541,2009-10-23,2009,10,October,23,Friday,2
542,2009-10-24,2009,10,October,24,Saturday,2
543,2009-10-25,2009,10,October,25,Sunday,2
544,2009-10-26,2009,10,October,26,Monday,2
545,2009-10-27,2009,10,October,27,Tuesday,2
546,2009-10-28,2009,10,October,28,Wednesday,2
547,2009-10-29,2009,10,October,29,Thursday,2
548,2009-10-30,2009,10,October,30,Friday,2
549,2009-10-31,2009,10,October,31,Saturday,2
